type,word,length
ham,n,1
ham,e,1
ham,u,1
ham,c,1
ham,k,1
ham,v,1
ham,b,1
ham,x,1
ham,r,1
ham,h,1
ham,l,1
ham,z,1
ham,g,1
ham,j,1
ham,q,1
ham,p,1
ham,f,1
ham,w,1
ham,go,2
ham,la,2
ham,ok,2
ham,im,2
ham,oh,2
ham,eh,2
ham,ye,2
ham,ha,2
ham,da,2
ham,ur,2
ham,bu,2
ham,us,2
ham,nd,2
ham,pl,2
ham,he,2
ham,iq,2
ham,hi,2
ham,xx,2
ham,pa,2
ham,ta,2
ham,ah,2
ham,sm,2
ham,yo,2
ham,wk,2
ham,am,2
ham,ip,2
ham,co,2
ham,wa,2
ham,tt,2
ham,mu,2
ham,ni,2
ham,ya,2
ham,ki,2
ham,tv,2
ham,mr,2
ham,gr,2
ham,ju,2
ham,si,2
ham,or,2
ham,pm,2
ham,rs,2
ham,id,2
ham,kr,2
ham,ga,2
ham,gt,2
ham,os,2
ham,po,2
ham,fr,2
ham,up,2
ham,bf,2
ham,gf,2
ham,ge,2
ham,jo,2
ham,kb,2
ham,lo,2
ham,di,2
ham,ex,2
ham,st,2
ham,mm,2
ham,al,2
ham,hv,2
ham,th,2
ham,ja,2
ham,fb,2
ham,bt,2
ham,gs,2
ham,ak,2
ham,no,2
ham,lr,2
ham,lt,2
ham,fo,2
ham,uv,2
ham,ey,2
ham,em,2
ham,yi,2
ham,ar,2
ham,ml,2
ham,de,2
ham,en,2
ham,ho,2
ham,xy,2
ham,an,2
ham,ku,2
ham,ws,2
ham,px,2
ham,ba,2
ham,gd,2
ham,mt,2
ham,ma,2
ham,nt,2
ham,ti,2
ham,rv,2
ham,kz,2
ham,sn,2
ham,ie,2
ham,ym,2
ham,yr,2
ham,mo,2
ham,ms,2
ham,ad,2
ham,il,2
ham,sd,2
ham,gm,2
ham,rd,2
ham,le,2
ham,oi,2
ham,na,2
ham,ne,2
ham,nw,2
ham,hr,2
ham,ro,2
ham,mc,2
ham,el,2
ham,jd,2
ham,ps,2
ham,bb,2
ham,vl,2
ham,ax,2
ham,un,2
ham,tp,2
ham,wt,2
ham,wi,2
ham,nz,2
ham,bk,2
ham,ke,2
ham,ra,2
ham,oz,2
ham,je,2
ham,cd,2
ham,nu,2
ham,sc,2
ham,mi,2
ham,pe,2
ham,tb,2
ham,ui,2
ham,db,2
ham,sh,2
ham,uh,2
ham,mp,2
ham,cn,2
ham,se,2
ham,ic,2
ham,lb,2
ham,nb,2
ham,lk,2
ham,ko,2
ham,wo,2
ham,cm,2
ham,gv,2
ham,lv,2
ham,dt,2
ham,wn,2
ham,hw,2
ham,gn,2
ham,kg,2
ham,cl,2
ham,fp,2
ham,rr,2
ham,ru,2
ham,sr,2
ham,sq,2
ham,er,2
ham,dr,2
ham,bc,2
ham,hp,2
ham,ft,2
ham,dd,2
ham,pg,2
ham,iz,2
ham,vs,2
ham,tm,2
ham,my,2
ham,ew,2
ham,lm,2
ham,hm,2
ham,ay,2
ham,jp,2
ham,um,2
ham,cr,2
ham,av,2
ham,ee,2
ham,dl,2
ham,ia,2
ham,mb,2
ham,js,2
ham,ny,2
ham,cp,2
ham,pc,2
ham,ji,2
ham,qi,2
ham,so,2
ham,ph,2
ham,ow,2
ham,mj,2
ham,jb,2
ham,mw,2
ham,tc,2
ham,uk,2
ham,mn,2
ham,bw,2
ham,aa,2
ham,nh,2
ham,hu,2
ham,li,2
ham,got,3
ham,wat,3
ham,lar,3
ham,wif,3
ham,oni,3
ham,dun,3
ham,say,3
ham,hor,3
ham,nah,3
ham,goe,3
ham,usf,3
ham,aid,3
ham,per,3
ham,oru,3
ham,set,3
ham,ive,3
ham,cri,3
ham,kim,3
ham,wet,3
ham,way,3
ham,tri,3
ham,pay,3
ham,aft,3
ham,str,3
ham,lor,3
ham,ard,3
ham,eat,3
ham,tho,3
ham,get,3
ham,lol,3
ham,fri,3
ham,egg,3
ham,tea,3
ham,mom,3
ham,amp,3
ham,car,3
ham,ill,3
ham,let,3
ham,yup,3
ham,msg,3
ham,may,3
ham,oop,3
ham,see,3
ham,how,3
ham,man,3
ham,hep,3
ham,ask,3
ham,bit,3
ham,saw,3
ham,run,3
ham,fyi,3
ham,wow,3
ham,odi,3
ham,wun,3
ham,cut,3
ham,day,3
ham,end,3
ham,wah,3
ham,hee,3
ham,shi,3
ham,job,3
ham,one,3
ham,use,3
ham,bed,3
ham,ela,3
ham,wen,3
ham,sum,3
ham,buy,3
ham,abt,3
ham,hol,3
ham,els,3
ham,ave,3
ham,yet,3
ham,men,3
ham,nyc,3
ham,cuz,3
ham,lot,3
ham,hit,3
ham,old,3
ham,lie,3
ham,new,3
ham,mah,3
ham,juz,3
ham,sao,3
ham,hey,3
ham,del,3
ham,bak,3
ham,haf,3
ham,msn,3
ham,sir,3
ham,swt,3
ham,gud,3
ham,dot,3
ham,thk,3
ham,joy,3
ham,boy,3
ham,wit,3
ham,axi,3
ham,hop,3
ham,muz,3
ham,til,3
ham,log,3
ham,wed,3
ham,guy,3
ham,net,3
ham,xma,3
ham,abl,3
ham,hav,3
ham,tmr,3
ham,mrt,3
ham,txt,3
ham,xxx,3
ham,enc,3
ham,inr,3
ham,dat,3
ham,oso,3
ham,big,3
ham,noe,3
ham,leh,3
ham,atm,3
ham,die,3
ham,wil,3
ham,win,3
ham,tel,3
ham,uve,3
ham,bat,3
ham,fix,3
ham,cal,3
ham,min,3
ham,wid,3
ham,dnt,3
ham,coz,3
ham,luv,3
ham,usp,3
ham,lag,3
ham,mmm,3
ham,evo,3
ham,ray,3
ham,bay,3
ham,rob,3
ham,far,3
ham,oki,3
ham,cam,3
ham,plz,3
ham,def,3
ham,key,3
ham,clo,3
ham,wot,3
ham,cud,3
ham,ppl,3
ham,gon,3
ham,wiv,3
ham,two,3
ham,num,3
ham,jay,3
ham,ish,3
ham,ago,3
ham,wtf,3
ham,met,3
ham,aig,3
ham,air,3
ham,mei,3
ham,bar,3
ham,owl,3
ham,fun,3
ham,huh,3
ham,sat,3
ham,lap,3
ham,put,3
ham,ass,3
ham,god,3
ham,dai,3
ham,yep,3
ham,fav,3
ham,wld,3
ham,via,3
ham,yan,3
ham,jiu,3
ham,den,3
ham,aha,3
ham,ful,3
ham,wnt,3
ham,bmw,3
ham,vri,3
ham,amt,3
ham,ten,3
