word,frequency
n,135
e,78
u,987
c,60
k,71
v,47
b,63
x,40
r,131
h,1
l,2
z,1
g,17
j,6
q,2
p,6
f,3
w,14
go,416
la,7
ok,272
im,462
oh,111
eh,12
ye,71
ha,16
da,132
ur,240
bu,30
us,55
nd,12
pl,99
he,33
iq,4
hi,117
xx,7
pa,32
ta,4
ah,30
sm,18
yo,36
wk,10
am,1
ip,1
co,78
wa,3
tt,5
mu,15
ni,12
ya,55
ki,6
tv,22
mr,10
gr,12
ju,35
si,22
or,1
pm,24
rs,11
id,30
kr,2
ga,14
gt,8
os,2
po,3
fr,13
up,2
bf,5
gf,2
ge,7
jo,3
kb,7
lo,2
di,31
ex,10
st,24
mm,10
al,7
hv,5
th,41
ja,3
fb,6
bt,18
gs,1
ak,1
no,2
lr,6
lt,6
fo,2
uv,1
ey,2
em,9
yi,1
ar,7
ml,2
de,24
en,2
ho,10
xy,9
an,6
ku,1
ws,3
px,1
ba,2
gd,16
mt,2
ma,3
nt,14
ti,5
rv,1
kz,2
sn,2
ie,2
ym,5
yr,9
mo,8
ms,1
ad,10
il,8
sd,1
gm,2
rd,10
le,1
oi,2
na,10
ne,3
nw,5
hr,18
ro,1
mc,1
el,1
jd,2
ps,4
bb,9
vl,7
ax,1
un,1
tp,1
wt,3
wi,1
nz,1
bk,1
ke,2
ra,2
oz,4
je,1
cd,1
nu,1
sc,1
mi,3
pe,1
tb,3
ui,1
db,1
sh,1
uh,2
mp,2
cn,3
se,4
ic,3
lb,1
nb,2
lk,2
ko,1
wo,2
cm,1
gv,2
lv,2
dt,2
wn,3
hw,7
gn,2
kg,2
cl,1
fp,1
rr,1
ru,5
sr,1
sq,1
er,5
dr,2
bc,2
hp,1
ft,1
dd,1
pg,3
iz,4
vs,1
tm,4
my,1
ew,1
lm,1
hm,3
ay,1
jp,1
um,1
cr,1
av,2
ee,2
dl,1
ia,2
mb,2
js,1
ny,1
cp,1
pc,2
ji,1
qi,1
so,1
ph,1
ow,1
mj,1
jb,1
mw,1
tc,2
uk,1
mn,1
bw,1
aa,1
nh,1
hu,1
li,1
got,232
wat,108
lar,38
wif,27
oni,4
dun,55
say,138
hor,2
nah,10
goe,26
usf,11
aid,2
per,13
oru,4
set,22
ive,75
cri,7
kim,1
wet,3
way,100
tri,75
pay,38
aft,19
str,3
lor,160
ard,22
eat,45
tho,17
get,364
lol,73
fri,17
egg,6
tea,6
mom,21
amp,82
car,44
ill,242
let,87
yup,43
msg,61
may,39
oop,10
see,152
how,44
man,44
hep,1
ask,126
bit,44
saw,23
run,31
fyi,6
wow,10
odi,2
wun,7
cut,15
day,219
end,41
wah,4
hee,13
shi,2
job,45
one,170
use,60
bed,32
ela,2
wen,24
sum,5
buy,71
abt,26
hol,3
els,23
ave,5
yet,48
men,7
nyc,4
cuz,7
lot,49
hit,12
old,18
lie,6
new,67
mah,13
juz,25
sao,1
hey,106
del,1
bak,8
haf,23
msn,2
sir,34
swt,2
gud,53
dot,1
thk,50
joy,13
boy,37
wit,15
axi,1
hop,7
muz,11
til,25
log,9
wed,12
guy,56
net,7
xma,13
abl,26
hav,26
tmr,28
mrt,9
txt,13
xxx,21
enc,1
inr,2
dat,42
oso,23
big,35
noe,20
leh,29
atm,3
die,18
wil,18
win,18
tel,12
uve,1
bat,3
fix,12
cal,6
min,38
wid,16
dnt,13
coz,19
luv,31
usp,1
lag,2
mmm,4
evo,1
ray,5
bay,4
rob,2
far,16
oki,20
cam,2
plz,25
def,4
key,6
clo,3
wot,23
cud,4
ppl,4
gon,1
wiv,6
two,31
num,6
jay,14
ish,12
ago,12
wtf,4
met,9
aig,1
air,7
mei,7
bar,5
owl,1
fun,23
huh,20
sat,28
lap,1
put,35
ass,13
god,40
dai,6
yep,10
fav,1
wld,2
via,9
yan,5
jiu,5
den,32
aha,8
ful,3
wnt,6
bmw,3
vri,6
amt,5
ten,13
oic,3
tot,21
din,8
hmm,11
ami,2
ure,10
ear,3
bad,30
bye,4
cum,10
mcr,1
sec,5
dri,4
meh,9
rec,1
fee,3
spl,4
tat,6
sno,1
sea,15
fat,8
omw,7
btw,4
own,3
cup,4
pan,2
pic,12
bao,1
mrw,5
jen,2
gym,12
yar,13
mum,19
sch,22
lab,4
kid,14
jjc,1
pie,4
que,3
cer,1
pub,16
bud,4
pop,7
dad,30
wee,2
eve,14
bet,4
sun,16
lay,4
knw,17
hex,2
map,4
law,5
box,5
gpu,2
gap,10
wer,6
sit,16
dey,5
sth,1
dao,1
yay,6
add,9
gal,14
eye,10
lip,3
top,7
act,4
gua,1
idc,1
row,4
beg,3
she,29
jan,3
